DateTime,Name,Country,Volatility,Actual,Previous,Consensus
01/15/2010 08:15:00,Producer and Import Prices (YoY),Switzerland,2,-2.500,-3.300,-2.500
01/15/2010 10:00:00,Trade Balance n.s.a.,European Monetary Union,1,2.700,4.400,7.000
01/15/2010 10:00:00,Trade Balance s.a.,European Monetary Union,1,4.000,4.700,5.300
01/15/2010 10:00:00,Consumer Price Index (MoM),European Monetary Union,2,0.300,0.100,0.300
01/15/2010 10:00:00,Consumer Price Index - Core (YoY),European Monetary Union,1,0.900,1.000,1.000
01/15/2010 10:00:00,Consumer Price Index (YoY),European Monetary Union,2,0.900,0.900,0.900
01/15/2010 13:30:00,New Motor Vehicle Sales (MoM),Canada,1,-2.800,3.400,-6.400
01/15/2010 13:30:00,NY Empire State Manufacturing Index,United States,2,15.920,2.550,11.400
01/15/2010 13:30:00,Consumer Price Index Ex Food & Energy (YoY),United States,2,1.800,1.700,1.800
01/15/2010 13:30:00,Consumer Price Index (YoY),United States,3,2.700,1.800,2.800
01/15/2010 13:30:00,Consumer Price Index Ex Food & Energy (MoM),United States,2,0.100,0.000,0.100
01/15/2010 13:30:00,Consumer Price Index (MoM),United States,3,0.200,0.400,0.100
01/15/2010 14:15:00,Industrial Production (MoM),United States,1,0.700,0.600,0.600
01/15/2010 14:15:00,Capacity Utilization,United States,1,71.900,71.500,71.900
01/15/2010 14:55:00,Michigan Consumer Sentiment Index,United States,2,72.800,72.500,74.000
01/17/2010 23:30:00,TD Securities Inflation (YoY),Australia,1,2.600,,
01/17/2010 23:30:00,TD Securities Inflation (MoM),Australia,1,0.300,,
01/18/2010 00:00:00,Martin L. King's Birthday,United States,0,,,
01/18/2010 00:01:00,Rightmove House Price Index (MoM),United Kingdom,2,0.400,-2.200,
01/18/2010 00:01:00,Rightmove House Price Index (YoY),United Kingdom,2,4.100,1.700,
01/18/2010 04:30:00,Industrial Production (MoM),Japan,1,2.600,2.600,2.600
01/18/2010 04:30:00,Industrial Production (YoY),Japan,1,-4.200,-3.900,
01/18/2010 04:30:00,Capacity Utilization,Japan,1,3.200,0.200,
01/18/2010 13:30:00,Foreign portfolio investment in Canadian securities,Canada,1,10.807,5.857,5.230
01/18/2010 13:30:00,Canadian portfolio investment in foreign securities,Canada,1,-2.028,4.035,
01/19/2010 05:00:00,Consumer Confidence Index,Japan,2,37.900,39.900,
01/19/2010 09:30:00,Retail Price Index (YoY),United Kingdom,1,2.400,0.300,2.200
01/19/2010 09:30:00,Retail Price Index (MoM),United Kingdom,1,0.600,0.300,0.300
01/19/2010 09:30:00,Consumer Price Index (MoM),United Kingdom,3,0.600,0.300,0.300
01/19/2010 09:30:00,Consumer Price Index (YoY),United Kingdom,3,2.900,1.900,2.600
01/19/2010 09:30:00,Core Consumer Price Index (YoY),United Kingdom,2,2.800,1.900,2.300
01/19/2010 10:00:00,Construction Output  s.a (MoM),European Monetary Union,1,-1.100,-0.600,
01/19/2010 10:00:00,Construction Output w.d.a (YoY),European Monetary Union,1,-8.000,-7.700,
01/19/2010 10:00:00,ZEW Survey - Economic Sentiment,European Monetary Union,2,46.400,48.000,48.000
01/19/2010 10:00:00,ZEW Survey - Current Situation,Germany,1,-56.600,-60.600,-56.200
01/19/2010 10:00:00,ZEW Survey - Economic Sentiment,Germany,3,47.200,50.400,50.000
01/19/2010 13:30:00,Leading Indicators (MoM),Canada,1,1.500,1.300,1.100
01/19/2010 14:00:00,Net Long-Term TIC Flows,United States,2,126.400,19.300,30.300
01/19/2010 14:00:00,Total Net TIC Flows,United States,2,30.700,-25.400,
01/19/2010 14:00:00,BoC Interest Rate Decision,Canada,3,0.250,0.250,0.250
01/19/2010 18:00:00,NAHB Housing Market Index,United States,1,15.000,16.000,17.000
01/19/2010 19:00:00,BoE's Governor King Speech,United Kingdom,2,,,
01/19/2010 21:45:00,Food Price Index (MoM),New Zealand,1,-0.300,-0.300,
01/19/2010 21:45:00,Consumer Price Index (QoQ),New Zealand,2,-0.200,1.300,0.000
01/19/2010 23:30:00,Westpac Consumer Confidence,Australia,2,5.600,-3.800,
01/19/2010 23:50:00,Tertiary Industry Index (MoM),Japan,1,-0.100,0.400,-0.100
01/20/2010 06:00:00,Machine Tool Orders (YoY),Japan,1,,62.800,
01/20/2010 07:00:00,Producer Price Index (YoY),Germany,2,-5.200,-5.900,-5.100
01/20/2010 07:00:00,Producer Price Index (MoM),Germany,2,-0.100,0.100,0.200
01/20/2010 09:30:00,Bank of England Minutes,United Kingdom,3,,,
01/20/2010 09:30:00,Claimant Count Rate,United Kingdom,2,5.000,5.000,5.000
01/20/2010 09:30:00,Average Earnings including Bonus (3Mo/Yr),United Kingdom,2,0.600,0.500,1.600
01/20/2010 09:30:00,Average Earnings excluding Bonus (3Mo/Yr),United Kingdom,2,1.100,1.200,1.700
01/20/2010 09:30:00,Claimant Count Change,United Kingdom,2,-18.800,-8.400,-3.300
01/20/2010 09:30:00,ILO Unemployment Rate (3M),United Kingdom,2,7.800,7.900,8.000
01/20/2010 12:00:00,MBA Mortgage Applications,United States,1,9.100,14.300,
01/20/2010 12:00:00,Bank of Canada Consumer Price Index Core (YoY),Canada,1,1.500,1.500,1.800
01/20/2010 12:00:00,Bank of Canada Consumer Price Index Core (MoM),Canada,2,-0.300,0.400,0.100
01/20/2010 12:00:00,Consumer Price Index (MoM),Canada,2,-0.300,0.500,-0.100
01/20/2010 12:00:00,Consumer Price Index (YoY),Canada,2,1.300,1.000,1.600
01/20/2010 13:30:00,Housing Starts (MoM),United States,2,0.580,0.580,0.580
01/20/2010 13:30:00,Building Permits (MoM),United States,2,0.650,0.590,0.590
01/20/2010 13:30:00,Producer Price Index (YoY),United States,3,4.400,2.400,4.500
01/20/2010 13:30:00,Producer Price Index (MoM),United States,3,0.400,1.800,0.100
01/20/2010 13:30:00,Producer Price Index ex Food & Energy (YoY),United States,3,0.900,1.200,1.000
01/20/2010 13:30:00,Producer Price Index ex Food & Energy (MoM),United States,3,0.000,0.500,0.100
01/20/2010 13:30:00,Manufacturing Shipments (MoM),Canada,1,0.100,2.100,1.600
01/20/2010 21:45:00,Retail Sales ex Autos (QoQ),New Zealand,2,0.800,0.500,0.300
01/20/2010 21:45:00,Retail Sales (QoQ),New Zealand,2,0.800,0.100,0.600
01/21/2010 00:30:00,New Motor Vehicle Sales (YoY),Australia,1,17.200,16.100,
01/21/2010 00:30:00,New Motor Vehicle Sales (MoM),Australia,1,3.000,4.500,
01/21/2010 05:00:00,Leading Economic Index,Japan,1,94.000,91.200,
01/21/2010 05:00:00,Coincident Index,Japan,1,97.600,95.900,
01/21/2010 08:30:00,Markit Manufacturing PMI,Germany,2,53.400,52.700,53.000
01/21/2010 08:30:00,Markit Services PMI,Germany,1,51.200,52.700,53.100
01/21/2010 09:00:00,ECB Monthly Report,European Monetary Union,2,,,
01/21/2010 09:00:00,Markit Manufacturing PMI,European Monetary Union,2,52.000,51.600,52.000
01/21/2010 09:00:00,Markit Services PMI,European Monetary Union,1,52.300,53.600,54.100
01/21/2010 09:30:00,CML Gross Mortgage Lending s.a.,United Kingdom,0,13.700,12.000,
01/21/2010 09:30:00,M4 Money Supply (MoM),United Kingdom,1,-1.100,0.100,0.900
01/21/2010 09:30:00,M4 Money Supply (YoY),United Kingdom,1,6.400,9.200,8.900
01/21/2010 09:30:00,Public Sector Net Borrowing,United Kingdom,1,14.000,18.700,18.700
01/21/2010 10:00:00,ZEW Survey - Expectations,Switzerland,2,56.200,54.000,
01/21/2010 11:00:00,CBI Industrial Trends Survey - Orders (MoM),United Kingdom,1,-39.000,-42.000,
01/21/2010 12:00:00,ECB Trichet's Speech,European Monetary Union,2,,,
01/21/2010 13:30:00,Initial Jobless Claims,United States,2,478.000,446.000,441.000
01/21/2010 13:30:00,Continuing Jobless Claims,United States,1,4659.000,4617.000,4600.000
01/21/2010 13:30:00,Wholesale Sales (MoM),Canada,1,2.500,-1.500,0.400
01/21/2010 15:00:00,Philadelphia Fed Manufacturing Survey,United States,2,15.200,22.500,18.200
01/21/2010 15:30:00,Bank of Canada Monetary Policy Report,Canada,2,,,
01/21/2010 16:00:00,EIA Crude Oil Stocks change,United States,1,-0.400,3.700,2.200
01/22/2010 00:30:00,Import Price Index (QoQ),Australia,1,-4.300,-3.000,-1.700
01/22/2010 01:30:00,Export Price Index (QoQ),Australia,1,-1.700,-9.600,
01/22/2010 01:30:00,RBA Foreign Exchange Transaction,Australia,1,946.000,313.000,
01/22/2010 04:30:00,All Industry Activity Index (MoM),Japan,1,0.200,1.100,
01/22/2010 09:30:00,Retail Sales (YoY),United Kingdom,3,2.400,3.100,3.000
01/22/2010 09:30:00,Retail Sales (MoM),United Kingdom,3,-0.200,-0.300,1.200
01/22/2010 10:00:00,Industrial New Orders (YoY),European Monetary Union,1,9.700,-0.200,3.000
01/22/2010 10:00:00,Industrial New Orders s.a. (MoM),European Monetary Union,1,3.150,-2.400,0.700
01/22/2010 13:30:00,Retail Sales (MoM),Canada,3,-0.500,1.000,-0.300
01/22/2010 13:30:00,Retail Sales ex Autos (MoM),Canada,3,-0.200,0.300,0.200
01/24/2010 00:30:00,Producer Price Index (YoY),Australia,2,-1.500,0.200,-0.900
01/24/2010 00:30:00,Producer Price Index (QoQ),Australia,2,-0.400,0.100,0.100
01/25/2010 07:00:00,Gfk Consumer Confidence Survey,Germany,2,3.300,3.400,3.200
01/25/2010 15:00:00,Existing Home Sales Change (MoM),United States,1,-16.700,7.400,
01/25/2010 15:00:00,Existing Home Sales (MoM),United States,1,5.450,6.540,5.780
01/25/2010 23:50:00,Corporate Service Price (YoY),Japan,1,-1.500,-2.000,-1.400
01/26/2010 00:00:00,Australia Day,Australia,0,,,
01/26/2010 03:24:59,BoJ Interest Rate Decision,Japan,3,0.100,0.100,0.100
01/26/2010 07:00:00,UBS Consumption Indicator,Switzerland,2,1.190,1.260,
01/26/2010 09:00:00,Current Account n.s.a,European Monetary Union,1,-0.623,0.530,
